Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
OCT;General;Baja;Otros;P£blico;BTCGSD06 (BT / Abonados Especiales con Demanda);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OCT;General;Baja;Otros;P£blico;BTCGSD10 (BT / Abonados Especiales con Demanda Horaria);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OCT;Alumbrado P£blico;Baja;Alumbrado P£blico;P£blico;BTAPCD01 (BT / Alumbrado P£blico);1;1537,581;110563,17;1;7819,608833;825074,19;1;3850,26;287627,65;1;15994,3068;1270311,16;1;7982,49;1469657,51;1;2640,796;259535,34;1;10458,74851;691743,94;1;3665,03;374925,38;257;3783,46;561440,29;1;6226,466;698091,67;1;3019,31;269625,29
OCT;General;Baja;Otros;P£blico;BTCGSD03 (BT / Asistencia Social);84;31,899;1637,19;161;90,357;4962,34;120;60,05;3302,28;52;44,53258;4365,67;107;91,48;5163,22;65;39,124;2171,25;168;101,105;5583,19;43;18,724;997,37;47;27,24;1479,04;127;95,728;5299,93;134;61,17;3538,87
OCT;General;Baja;Otros;P£blico;BTCGCD03 (BT / Asistencia Social con Demanda);2;3,668;312,04;0;0;0;6;31,63;2451,03;31;83,25044;6506,06;8;9,02;912,7;5;8,505;745,89;1;1,525;145,54;10;20,203;1765,83;0;0;0;0;0;0;3;0,97;99,87
OCT;General;Baja;Otros;P£blico;NDCGCD01 (BT / Asistencia Social con Demanda Horaria);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;172,45;12869,25
OCT;General;Baja;Otros;P£blico;BTCGCD04 (BT / Autoconsumo con Demanda);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OCT;General;Baja;Otros;P£blico;BTCGSD04 (BT / Beneficio P£blico);512;45,8;2958,25;854;110,073;6207,82;826;138,19;7800,02;392;148,08054;13296,94;830;118,98;6805,49;265;41,699;2347,62;578;91,113;5175,56;264;37,335;2110,81;230;41,26;2214,17;937;105,368;6012,78;757;72,8;4263
OCT;General;Baja;Otros;P£blico;BTCGCD05 (BT / Beneficio P£blico con Demanda);2;2,393;247,74;0;0;0;13;13,65;1270,05;56;77,67242;6393,88;3;2,87;370,59;8;8,884;803,41;8;10,393;932,15;19;38,338;3174,95;2;1;77,02;0;0;0;6;1,61;298,91
OCT;General;Baja;Otros;P£blico;BTCGCD20 (BT / Beneficio P£blico con Demanda Horaria);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;61,15;4999,25
OCT;General;Baja;Otros;P£blico;BTCGCD21 (BT / Bombeo de Agua Comunidades Campesinas);14;3,327;281,93;13;28,097;1132,98;4;3,95;160,68;0;0;0;8;6,32;258,4;1;23,698;948,62;11;12,248;497,62;8;35,962;1498,02;0;0;0;14;18,073;732,72;52;39,44;1613,88
OCT;General;Baja;Otros;P£blico;BTCGCD06 (BT / Bombeo de Agua con Demanda);0;0;0;0;0;0;15;25;2272,45;10;56,4406;5276,38;49;36,23;3634,46;0;0;0;0;0;0;4;28,749;2581,51;0;0;0;1;4,328;361,85;28;19,8;1973,97
OCT;General;Baja;Otros;P£blico;BTCGCD34 (BT / Bombeo de Agua con Demanda Horaria);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;66,1;5751,94
OCT;General;Baja;Otros;P£blico;BTCGSD14 (BT / Bombeo de Agua para Servicio P£blico de Agua);0;0;0;15;15,463;1015,9;0;0;0;29;25,637;1727,43;0;0;0;13;10,121;663,56;0;0;0;0;0;0;19;17,12;1123,57;11;5,852;385,57;0;0;0
OCT;General;Baja;Otros;P£blico;BTCGCD40 (BT / Bombeo de Agua para Servicio P£blico de Agua con Demanda Horaria);0;0;0;0;0;0;0;0;0;12;74,93062;4863,02;0;0;0;0;0;0;2;17,681;1187,19;0;0;0;0;0;0;0;0;0;79;638,2;40416,69
OCT;General;Baja;Comercial;P£blico;BTCGSD01 (BT / Comercial);0;0;0;38;1,987;244,51;221;133,68;13633;20;10,5315;1131,22;6;2,97;294,93;9;4,328;433,72;29;7,501;777,29;57;23,586;2435,17;3;1,4;142,79;16;8,458;864,88;27;35,08;3572,61
OCT;General;Baja;Comercial;P£blico;BTCGCD01 (BT / Comercial con Demanda);0;0;0;0;0;0;11;28,72;3319,34;3;18,0693;2113,09;3;13,56;1709,96;1;2,945;350,99;0;0;0;1;0;1,41;0;0;0;0;0;0;12;26,1;2822,04
OCT;General;Baja;Comercial;P£blico;BTCGCD31 (BT / Comercial con Demanda Horaria);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;27,31;2704,12
OCT;General;Baja;Otros;P£blico;BTCGSD09 (BT / Culto Religioso);0;0;0;0;0;0;5;1,27;74,21;0;0;0;0;0;0;1;0,726;39,05;1;0,004;1,55;0;0;0;2;0,32;14,63;0;0;0;7;0,33;21,75
OCT;General;Baja;Otros;P£blico;BTCGCD32 (BT / Culto Religioso con Demanda);1;0,555;59,21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OCT;General;Baja;Otros;P£blico;BTCGSD05 (BT / Entidades Oficiales);355;96,741;9015,72;1023;386,415;35650,67;402;136,11;12551,61;1403;958,37601;92793,54;632;406,17;37294,38;291;179,987;16569,44;520;274,389;22472,45;350;236,624;21973,96;599;532,58;49218,63;677;430,041;39455;280;131,54;12099,82
OCT;General;Baja;Otros;P£blico;BTCGCD07 (BT / Entidades Oficiales con Demanda);11;38,194;3989,08;0;0;0;36;72,82;7709,45;313;886,3434;88908,03;65;101,87;11486,01;31;69,985;7606,44;120;193,985;20712,61;57;212,171;21803,16;16;24,14;2618,56;3;5,606;566,29;30;23,67;2825,72
OCT;General;Baja;Otros;P£blico;BTCGCD35 (BT / Entidades Oficiales con Demanda Horaria);0;0;0;0;0;0;0;0;0;2;2,524;274,35;0;0;0;0;0;0;8;72,424;6963,25;0;0;0;0;0;0;0;0;0;223;950,48;92647,11
OCT;General;Baja;Otros;P£blico;BTCGCD08 (BT / Escenarios Deportivos con Demanda);1;2,4;269,47;0;0;0;11;3,11;437,52;0;0;0;0;0;0;1;0;6,2;0;0;0;0;0;0;0;0;0;0;0;0;13;6,18;711,37
OCT;General;Baja;Industrial;P£blico;BTCGSD02 (BT / Industrial Artesanal);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OCT;General;Baja;Industrial;P£blico;BTCGCD02 (BT / Industrial con Demanda);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OCT;General;Baja;Industrial;P£blico;BTCGCD30 (BT / Industrial con Demanda Horaria);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;21,82;2071,35
OCT;Residencial;No Aplica;Residencial;P£blico;REFACTRE (Residencial / Refacturaciones y Reliquidaciones);0;55,884;0;0;0;0;0;0,08;-23,7;0;0;0;0;0,05;4,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OCT;General;Baja;Otros;P£blico;BTCGCD09 (BT / Otros con Demanda);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OCT;General;Baja;Otros;P£blico;BTCGCD37 (BT / Autoconsumo con Demana Horaria);0;0;0;0;0;0;0;0;0;0;0;0;1;5,48;492,26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OCT;General;Baja;Otros;P£blico;BTCGCD38 (BT / Otros con Demanda Horaria);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OCT;General;Baja;Otros;P£blico;BTCGSD08 (BT / Otros);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OCT;General;Baja;Otros;P£blico;BTCGSD12 (BT / Escenarios Deportivos);10;0,58;61,66;14;1,624;156,21;0;0;0;0;0;0;0;0;0;8;1,567;142,73;11;3,824;352,73;2;0,42;37,78;11;3,95;367,89;8;3,922;363,64;6;0,32;34,95
OCT;Residencial;Baja;Residencial;P£blico;BTCRSD02 (BT / Residencial Temporal);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OCT;General;Baja;Otros;P£blico;BTCGSD13 (BT / Bombeo de Agua);0;0;0;1;0;1,41;1;0,02;0;1;1,241;110,36;0;0;0;7;7,778;637,4;13;13,873;1148,49;28;33,378;2745,71;5;3,33;269,68;20;18,534;1524,43;0;0;0
