date,prod_total_gwh,energia_facturada_gwh,prod_total_mwh,energia_facturada_mwh
2021-10-01,25245.69,21094.45,25245690.0,21094450.0
2021-11-01,25789.07,21181.84,25789070.0,21181840.0
2021-12-01,26076.46,21248.4,26076460.0,21248400.0
2022-01-01,25976.47,21319.76,25976470.0,21319760.0
2022-02-01,25787.26,21365.81,25787260.0,21365810.0
2022-03-01,25696.03,21407.58,25696030.0,21407580.0
2022-04-01,25586.95,21513.4,25586950.0,21513400.0
2022-05-01,78.06,92.58,78060.0,92580.0
2022-06-01,25762.91,21698.68,25762910.0,21698680.0
2022-07-01,25863.94,21769.98,25863940.0,21769980.0
2022-08-01,25960.91,21965.45,25960910.0,21965450.0
2022-09-01,78.56,92.61,78560.0,92610.0
2022-10-01,26077.52,22124.43,26077520.0,22124430.0
2022-11-01,25706.84,22135.88,25706840.0,22135880.0
2022-12-01,75.06,92.64,75060.0,92640.0
2023-01-01,24731.12,21600.55,24731120.0,21600550.0
2023-02-01,24528.13,22371.17,24528130.0,22371170.0
2023-03-01,24594.55,22460.73,24594550.0,22460730.0
2023-04-01,24735.12,22540.43,24735120.0,22540430.0
2023-05-01,25102.27,22684.61,25102270.0,22684610.0
2023-06-01,25584.23,22953.19,25584230.0,22953190.0
2023-07-01,73.53,92.95,73530.0,92950.0
2023-08-01,26225.01,23103.65,26225010.0,23103650.0
2023-09-01,26013.17,23254.87,26013170.0,23254870.0
2023-10-01,71.54,93.01,71540.0,93010.0
2023-11-01,25747.09,23560.14,25747090.0,23560140.0
2023-12-01,25954.22,23639.55,25954220.0,23639550.0
2024-01-01,26525.54,23722.6,26525540.0,23722600.0
2024-02-01,27106.07,23620.29,27106070.0,23620290.0
2024-03-01,26940.84,23726.6,26940840.0,23726600.0
2024-04-01,26609.45,23846.29,26609450.0,23846290.0
2024-05-01,26217.91,23872.81,26217910.0,23872810.0
2024-06-01,26041.45,23922.92,26041450.0,23922920.0
2024-07-01,69.07,93.01,69070.0,93010.0
2024-08-01,67.65,92.99,67650.0,92990.0
2024-09-01,24808.49,23817.8,24808490.0,23817800.0
2024-10-01,24326.95,23642.79,24326950.0,23642790.0
2024-11-01,23753.59,23244.88,23753590.0,23244880.0
2024-12-01,23373.76,22992.8,23373760.0,22992800.0
2025-01-01,23094.73,22896.05,23094730.0,22896050.0
2025-02-01,23052.36,23198.94,23052360.0,23198940.0
2025-03-01,23400.95,23245.15,23400950.0,23245150.0
2025-04-01,23830.03,23294.84,23830030.0,23294840.0
2025-05-01,24099.83,23403.96,24099830.0,23403960.0
