BALANCE NACIONAL DE ENERGÍA ELCTRICA A JUNIO 2022;;;
;;;
1. Potencia Nominal en Generación;;MW;%
 Renovable ; Hidráulica ;5.155,30;58,67%
; Eólica ;21,15;0,24%
; Fotovoltaica ;28,65;0,33%
; Biomasa ;144,30;1,64%
; Biogas ;8,32;0,09%
 Total Energía Renovable ;;5.357,72;60,97%
 No Renovable ; Térmica MCI ;2.023,64;23,03%
; Térmica Turbogas ;943,85;10,74%
; Térmica Turbovapor ;461,63;5,25%
 Total Energía No Renovable ;;3.429,11;39,03%
Total Potencia Nominal ;;8.786,83;100,00%
;;;
Interconexiones;;MW ;%
 Interconexiones ; Colombia ;540;83,08%
; Perú;110;16,92%
 Total Interconexiones ;;650;100,00%
;;;
2. Potencia Efectiva en Generación;;MW;%
 Renovable ; Hidráulica ;5.120,71;62,81%
; Eólica ;21,15;0,26%
; Fotovoltaica ;27,76;0,34%
; Biomasa ;136,40;1,67%
; Biogas ;7,20;0,09%
 Total Energía Renovable ;;5.313,23;65,17%
 No Renovable ; Térmica MCI ;1.617,47;19,84%
; Térmica Turbogas ;790,55;9,70%
; Térmica Turbovapor ;431,50;5,29%
 Total Energía No Renovable ;;2.839,52;34,83%
Total Potencia Efectiva ;;8.152,75;100,00%
;;;
Interconexiones;;MW ;%
 Interconexiones ; Colombia ;525;82,68%
; Perú;110;17,32%
 Total Interconexiones ;;635;100,00%
;;;
3. Producción Total de Energía e Importaciones;;GWh;%
 Renovable ; Hidráulica ;25.252,92;76,61%
; Eólica ;57,78;0,18%
; Fotovoltaica ;37,31;0,11%
; Biomasa ;375,07;1,14%
; Biogas ;39,82;0,12%
 Total Energía Renovable ;;25.762,91;78,16%
 No Renovable ; Térmica MCI ;4.582,67;13,90%
; Térmica Turbogas ;908,28;2,76%
; Térmica Turbovapor ;1.319,21;4,00%
 Total Energía No Renovable ;;6.810,16;20,66%
 Total Producción Nacional ;;32.573,06;98,82%
 Interconexión ; Colombia ;388,51;1,18%
; Perú;0,00;0,00%
; Importación ;388,51;1,18%
Total Producción Nacional + Importación ;;32.961,58;100,00%
;;;
3.1 Producción Total de Energía e Importaciones S.N.I. ;; GWh ;%
 Renovable ; Hidráulica ;25.239,32;87,13%
; Eólica ;55,64;0,19%
; Fotovoltaica ;33,09;0,11%
; Biomasa ;375,07;1,29%
; Biogas ;39,82;0,14%
 Total Energía Renovable S.N.I. ;;25.742,94;88,87%
 No Renovable ; Térmica MCI ;949,58;3,28%
; Térmica Turbogas ;581,48;2,01%
; Térmica Turbovapor ;1.304,48;4,50%
 Total Energía No Renovable S.N.I. ;;2.835,55;9,79%
 Total Producción Nacional S.N.I. ;;28.578,49;98,66%
 Interconexión ; Colombia ;388,51;1,34%
; Perú;0,00;0,00%
; Importación ;388,51;1,34%
Total Producción Nacional + Importación S.N.I. ;;28.967,00;100,00%
;;;
4. Energía Entregada para Servicio Público ;; GWh ;%
 Renovable ; Hidráulica ;23.694,35;88,27%
; Eólica ;56,76;0,21%
; Fotovoltaica ;36,34;0,14%
; Biomasa ;147,00;0,55%
; Biogas ;39,68;0,15%
 Total Energía Renovable ;;23.974,13;89,31%
 No Renovable ; Térmica MCI ;717,07;2,67%
; Térmica Turbogas ;562,36;2,09%
; Térmica Turbovapor ;1.201,88;4,48%
 Total Energía No Renovable ;;2.481,32;9,24%
 Total Producción Nacional ;;26.455,45;98,55%
 Interconexión ; Colombia ;388,51;1,45%
; Perú;0,00;0,00%
; Importación ;388,51;1,45%
Total Energía Entregada para Servicio Público ;;26.843,96;100,00%
;;;
Energía Entregada para Servicio Eléctrico ;; GWh ;%
 Servicio Público ;;26.843,96;93,91%
 Demanda No Regulada ;;1.739,35;6,09%
Total Energía Entregada para Servicio Eléctrico ;;28.583,31;100,00%
;;;
5. Energía Disponible para Servicio Eléctrico ;; GWh ;%
 Pérdidas en Transmisión;;1.140,76;3,99%
 Total Energía Disponible para Servicio Eléctrico ;;27.442,55;96,01%
 Interconexión ; Colombia ;232,74;85,20%
; Perú;40,44;14,80%
; Exportación ;273,18;100,00%
 Total Energía Disponible en los Sistemas de Distribución ;;27.169,37;100,00%
 Consumo Total de Energía Eléctrica;;23.582,80;86,80%
 Pérdidas en Distribución ; Técnicas ;1.712,33;6,30%
; No Técnicas ;1.874,24;6,90%
; Pérdidas Totales ;3.586,57;13,20%
;;;
 6. Energía Facturada por Servicio Eléctrico ;; GWh ;%
 Demanda Regulada; Residencial ;7.889,91;33,66%
; Industrial ;5.892,04;25,14%
; Comercial ;3.899,43;16,64%
; Otros ;2.532,68;10,81%
; SAPG ;1.484,63;6,33%
; Total Demanda Regulada ;21.698,68;92,57%
 Demanda No Regulada y Otras Ventas ;;1.740,61;7,43%
 Total Energía Facturada por Servicio Eléctrico ;;23.439,29;100,00%
;;;
 Valores Facturados y Recaudados ;; MUSD ;%
 Facturación por Servicio Eléctrico (MUSD) ;;2.017,08;
 Recaudación por Servicio Eléctrico (MUSD) ;;2.006,05;99,45%
