BALANCE NACIONAL DE ENERGÍA ELÉCTRICA A ENERO 2023;;;
;;;
1. Potencia Nominal en Generación;;MW;%
 Renovable ; Hidráulica ;5.191,30;58,51%
; Eólica ;60,60;0,68%
; Fotovoltaica ;28,65;0,32%
; Biomasa ;144,30;1,63%
; Biogas ;8,32;0,09%
 Total Energía Renovable ;;5.433,17;61,24%
 No Renovable ; Térmica MCI ;2.033,18;22,92%
; Térmica Turbogas ;943,85;10,64%
; Térmica Turbovapor ;461,63;5,20%
 Total Energía No Renovable ;;3.438,65;38,76%
Total Potencia Nominal ;;8.871,82;100,00%
;;;
Interconexiones;;MW ;%
 Interconexiones ; Colombia ;540;83,08%
; Perú;110;16,92%
 Total Interconexiones ;;650;100,00%
;;;
2. Potencia Efectiva en Generación;;MW;%
 Renovable ; Hidráulica ;5.151,31;62,59%
; Eólica ;60,42;0,73%
; Fotovoltaica ;27,76;0,34%
; Biomasa ;136,40;1,66%
; Biogas ;7,20;0,09%
 Total Energía Renovable ;;5.383,10;65,41%
 No Renovable ; Térmica MCI ;1.625,11;19,75%
; Térmica Turbogas ;790,55;9,61%
; Térmica Turbovapor ;431,50;5,24%
 Total Energía No Renovable ;;2.847,16;34,59%
Total Potencia Efectiva ;;8.230,26;100,00%
;;;
Interconexiones;;MW ;%
 Interconexiones ; Colombia ;525;82,68%
; Perú;110;17,32%
 Total Interconexiones ;;635;100,00%
;;;
3. Producción Total de Energía e Importaciones;;GWh;%
 Renovable ; Hidráulica ;24.241,48;71,94%
; Eólica ;66,85;0,20%
; Fotovoltaica ;38,74;0,11%
; Biomasa ;341,35;1,01%
; Biogas ;42,69;0,13%
 Total Energía Renovable ;;24.731,12;73,39%
 No Renovable ; Térmica MCI ;5.534,37;16,42%
; Térmica Turbogas ;1.169,48;3,47%
; Térmica Turbovapor ;1.505,71;4,47%
 Total Energía No Renovable ;;8.209,56;24,36%
 Total Producción Nacional ;;32.940,68;97,75%
 Interconexión ; Colombia ;756,14;2,24%
; Perú;0,78;0,00%
; Importación ;756,92;2,25%
Total Producción Nacional + Importación ;;33.697,60;100,00%
;;;
3.1 Producción Total de Energía e Importaciones S.N.I. ;; GWh ;%
 Renovable ; Hidráulica ;24.231,07;82,10%
; Eólica ;64,19;0,22%
; Fotovoltaica ;33,34;0,11%
; Biomasa ;341,35;1,16%
; Biogas ;42,69;0,14%
 Total Energía Renovable S.N.I. ;;24.712,65;83,74%
 No Renovable ; Térmica MCI ;1.683,57;5,70%
; Térmica Turbogas ;853,68;2,89%
; Térmica Turbovapor ;1.505,71;5,10%
 Total Energía No Renovable S.N.I. ;;4.042,96;13,70%
 Total Producción Nacional S.N.I. ;;28.755,60;97,44%
 Interconexión ; Colombia ;756,14;2,56%
; Perú;0,78;0,00%
; Importación ;756,92;2,56%
Total Producción Nacional + Importación S.N.I. ;;29.512,53;100,00%
;;;
4. Energía Entregada para Servicio Público ;; GWh ;%
 Renovable ; Hidráulica ;22.677,66;82,27%
; Eólica ;65,80;0,24%
; Fotovoltaica ;37,64;0,14%
; Biomasa ;144,95;0,53%
; Biogas ;42,60;0,15%
 Total Energía Renovable ;;22.968,65;83,33%
 No Renovable ; Térmica MCI ;1.612,62;5,85%
; Térmica Turbogas ;834,94;3,03%
; Térmica Turbovapor ;1.391,45;5,05%
 Total Energía No Renovable ;;3.839,01;13,93%
 Total Producción Nacional ;;26.807,66;97,26%
 Interconexión ; Colombia ;756,14;2,74%
; Perú;0,78;0,00%
; Importación ;756,92;2,75%
Total Energía Entregada para Servicio Público ;;27.563,81;100,00%
;;;
Energía Entregada para Servicio Eléctrico ;; GWh ;%
 Servicio Público ;;27.563,81;94,02%
 Demanda No Regulada ;;1.753,94;5,98%
Total Energía Entregada para Servicio Eléctrico ;;29.317,74;100,00%
;;;
5. Energía Disponible para Servicio Eléctrico ;; GWh ;%
 Pérdidas en Transmisión;;1.314,33;4,48%
 Total Energía Disponible para Servicio Eléctrico ;;28.003,41;95,52%
 Interconexión ; Colombia ;148,72;82,46%
; Perú;31,64;17,54%
; Exportación ;180,36;100,00%
 Total Energía Disponible en los Sistemas de Distribución ;;27.823,05;100,00%
 Consumo Total de Energía Eléctrica;;24.094,79;86,60%
 Pérdidas en Distribución ; Técnicas ;1.732,47;6,23%
; No Técnicas ;1.995,79;7,17%
; Pérdidas Totales ;3.728,26;13,40%
;;;
 6. Energía Facturada por Servicio Eléctrico ;; GWh ;%
 Demanda Regulada; Residencial ;7.599,88;32,55%
; Industrial ;6.013,29;25,75%
; Comercial ;3.926,01;16,82%
; Otros ;2.619,97;11,22%
; SAPG ;1.441,41;6,17%
; Total Demanda Regulada ;21.600,55;92,51%
 Demanda No Regulada y Otras Ventas ;;1.747,69;7,49%
 Total Energía Facturada por Servicio Eléctrico ;;23.348,25;100,00%
;;;
 Valores Facturados y Recaudados ;; MUSD ;%
 Facturación por Servicio Eléctrico (MUSD) ;;2.060,43;
 Recaudación por Servicio Eléctrico (MUSD) ;;2.032,53;98,65%
