BALANCE NACIONAL DE ENERGÍA ELÉCTRICA A FEBRERO 2023;;;
;;;
1. Potencia Nominal en Generación;;MW;%
 Renovable ; Hidráulica ;5.191,30;58,44%
; Eólica ;71,31;0,80%
; Fotovoltaica ;28,65;0,32%
; Biomasa ;144,30;1,62%
; Biogas ;8,32;0,09%
 Total Energía Renovable ;;5.443,88;61,29%
 No Renovable ; Térmica MCI ;2.033,18;22,89%
; Térmica Turbogas ;943,85;10,63%
; Térmica Turbovapor ;461,63;5,20%
 Total Energía No Renovable ;;3.438,65;38,71%
Total Potencia Nominal ;;8.882,53;100,00%
;;;
Interconexiones;;MW ;%
 Interconexiones ; Colombia ;540;83,08%
; Perú;110;16,92%
 Total Interconexiones ;;650;100,00%
;;;
2. Potencia Efectiva en Generación;;MW;%
 Renovable ; Hidráulica ;5.151,31;62,51%
; Eólica ;71,13;0,86%
; Fotovoltaica ;27,76;0,34%
; Biomasa ;136,40;1,66%
; Biogas ;7,20;0,09%
 Total Energía Renovable ;;5.393,81;65,45%
 No Renovable ; Térmica MCI ;1.625,11;19,72%
; Térmica Turbogas ;790,55;9,59%
; Térmica Turbovapor ;431,50;5,24%
 Total Energía No Renovable ;;2.847,16;34,55%
Total Potencia Efectiva ;;8.240,97;100,00%
;;;
Interconexiones;;MW ;%
 Interconexiones ; Colombia ;525;82,68%
; Perú;110;17,32%
 Total Interconexiones ;;635;100,00%
;;;
3. Producción Total de Energía e Importaciones;;GWh;%
 Renovable ; Hidráulica ;24.027,65;70,94%
; Eólica ;76,89;0,23%
; Fotovoltaica ;38,78;0,11%
; Biomasa ;341,35;1,01%
; Biogas ;43,47;0,13%
 Total Energía Renovable ;;24.528,13;72,42%
 No Renovable ; Térmica MCI ;5.662,94;16,72%
; Térmica Turbogas ;1.251,60;3,70%
; Térmica Turbovapor ;1.473,66;4,35%
 Total Energía No Renovable ;;8.388,19;24,77%
 Total Producción Nacional ;;32.916,33;97,19%
 Interconexión ; Colombia ;951,21;2,81%
; Perú;0,78;0,00%
; Importación ;951,99;2,81%
Total Producción Nacional + Importación ;;33.868,32;100,00%
;;;
3.1 Producción Total de Energía e Importaciones S.N.I. ;; GWh ;%
 Renovable ; Hidráulica ;24.016,89;80,93%
; Eólica ;74,24;0,25%
; Fotovoltaica ;33,38;0,11%
; Biomasa ;341,35;1,15%
; Biogas ;43,47;0,15%
 Total Energía Renovable S.N.I. ;;24.509,32;82,59%
 No Renovable ; Térmica MCI ;1.797,48;6,06%
; Térmica Turbogas ;944,82;3,18%
; Térmica Turbovapor ;1.473,65;4,97%
 Total Energía No Renovable S.N.I. ;;4.215,96;14,21%
 Total Producción Nacional S.N.I. ;;28.725,28;96,79%
 Interconexión ; Colombia ;951,21;3,21%
; Perú;0,78;0,00%
; Importación ;951,99;3,21%
Total Producción Nacional + Importación S.N.I. ;;29.677,27;100,00%
;;;
4. Energía Entregada para Servicio Público ;; GWh ;%
 Renovable ; Hidráulica ;22.455,01;81,01%
; Eólica ;75,80;0,27%
; Fotovoltaica ;37,61;0,14%
; Biomasa ;144,95;0,52%
; Biogas ;43,38;0,16%
 Total Energía Renovable ;;22.756,75;82,10%
 No Renovable ; Térmica MCI ;1.721,32;6,21%
; Térmica Turbogas ;925,75;3,34%
; Térmica Turbovapor ;1.363,29;4,92%
 Total Energía No Renovable ;;4.010,36;14,47%
 Total Producción Nacional ;;26.767,11;96,57%
 Interconexión ; Colombia ;951,21;3,43%
; Perú;0,78;0,00%
; Importación ;951,99;3,43%
Total Energía Entregada para Servicio Público ;;27.718,32;100,00%
;;;
Energía Entregada para Servicio Eléctrico ;; GWh ;%
 Servicio Público ;;27.718,32;94,05%
 Demanda No Regulada ;;1.752,08;5,95%
Total Energía Entregada para Servicio Eléctrico ;;29.470,40;100,00%
;;;
5. Energía Disponible para Servicio Eléctrico ;; GWh ;%
 Pérdidas en Transmisión;;1.314,79;4,46%
 Total Energía Disponible para Servicio Eléctrico ;;28.155,61;95,54%
 Interconexión ; Colombia ;147,63;82,35%
; Perú;31,64;17,65%
; Exportación ;179,27;100,00%
 Total Energía Disponible en los Sistemas de Distribución ;;27.976,34;100,00%
 Consumo Total de Energía Eléctrica;;24.208,48;86,53%
 Pérdidas en Distribución ; Técnicas ;1.750,24;6,26%
; No Técnicas ;2.017,61;7,21%
; Pérdidas Totales ;3.767,86;13,47%
;;;
 6. Energía Facturada por Servicio Eléctrico ;; GWh ;%
 Demanda Regulada; Residencial ;7.902,97;32,76%
; Industrial ;6.171,74;25,58%
; Comercial ;4.070,91;16,87%
; Otros ;2.694,09;11,17%
; SAPG ;1.531,45;6,35%
; Total Demanda Regulada ;22.371,17;92,73%
 Demanda No Regulada y Otras Ventas ;;1.753,46;7,27%
 Total Energía Facturada por Servicio Eléctrico ;;24.124,63;100,00%
;;;
 Valores Facturados y Recaudados ;; MUSD ;%
 Facturación por Servicio Eléctrico (MUSD) ;;2.071,92;
 Recaudación por Servicio Eléctrico (MUSD) ;;2.041,78;98,55%
