"Calendario[Mesaño]";"SISDAT[Categoria]";"SISDAT[Nivel Voltaje]";"SISDAT[Grupo de consumo]";"SISDAT[Tipo Consumo]";"SISDAT[Tipo Tarifa]";"SISDAT[TRA-130.Tarifa SISDAT]";"Clientes_BOL";"MWh_BOL";"FACT_BOL";"Clientes_EOR";"MWh_EOR";"FACT_EOR";"Clientes_ESM";"MWh_ESM";"FACT_ESM";"Clientes_GYE";"MWh_GYE";"FACT_GYE";"Clientes_GLR";"MWh_GLR";"FACT_GLR";"Clientes_LRS";"MWh_LRS";"FACT_LRS";"Clientes_MAN";"MWh_MAN";"FACT_MAN";"Clientes_MLG";"MWh_MLG";"FACT_MLG";"Clientes_STE";"MWh_STE";"FACT_STE";"Clientes_STDO";"MWh_STDO";"FACT_STDO";"Clientes_SUC";"MWh_SUC";"FACT_SUC"
"1/7/2025";"Alumbrado Público";"0";"4 - Alumbrado Público";"No Público";"Alumbrado Público / Refacturaciones y Reliquidaciones";"REFACTAL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"Alumbrado Público";"0";"4 - Alumbrado Público";"Público";"Alumbrado Público / Refacturaciones y Reliquidaciones";"REFACTAL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"420,31"
"1/7/2025";"Alumbrado Público";"Baja";"4 - Alumbrado Público";"Público";"Alumbrado Público";"BTAPCD01";"1";"1973,45384";"127508,9";"1";"8603,9062";"885243,42";"1";"4679,87775";"366077,45";"1";"17417,79224";"1495115,17";"1";"10278,58322";"1661509,47";"1";"3097,23855";"300630,68";"1";"13164,91057";"881876,37";"1";"4459,29833";"594057,47";"1";"3536,21251";"513779,75";"1";"7719,23939";"778239,07";"1";"3647,94935";"306883,74"
"1/7/2025";"General";"0";"2 -  Comercial";"No Público";"Comercial / Refacturaciones y Reliquidaciones";"REFACTCO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"0";"2 -  Comercial";"Público";"Comercial / Refacturaciones y Reliquidaciones";"REFACTCO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"0";"3 - Industrial";"No Público";"Industrial / Refacturaciones y Reliquidaciones";"REFACTIN";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"0";"3 - Industrial";"Público";"Industrial / Refacturaciones y Reliquidaciones";"REFACTIN";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"0";"5 - Otros";"No Público";"Otros / Refacturaciones y Reliquidaciones";"REFACTOT";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"0";"5 - Otros";"Público";"Otros / Refacturaciones y Reliquidaciones";"REFACTOT";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Alta";"2 -  Comercial";"No Público";"Comercial con Demanda Horaria - AV1";"ATCGCD09";"0";"0";"0";"2";"1079,793";"108408,24";"0";"0";"0";"7";"3717,95";"338358,58";"6";"3966,23414";"398021,3";"1";"495,58026";"49203,46";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"504";"48757,64";"0";"0";"0"
"1/7/2025";"General";"Alta";"2 -  Comercial";"Público";"Comercial con Demanda Horaria - AV1";"ATCGCD09";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Alta";"3 - Industrial";"No Público";"Industrial con Demanda Horaria Diferenciada - AV1";"ATCGCD07";"0";"0";"0";"2";"611,42";"57316,92";"0";"0";"0";"37";"70439,18662";"5789941,91";"31";"37414,85379";"3438582,54";"0";"0";"0";"4";"4782,76";"430958,11";"12";"21606,83";"1986986,09";"0";"0";"0";"2";"2587,1";"241941,51";"1";"4156,853";"369389,45"
"1/7/2025";"General";"Alta";"3 - Industrial";"No Público";"Industrial con Demanda Horaria Diferenciada - AV2";"EATCGCD1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"16782,336";"1634129,52";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Alta";"3 - Industrial";"Público";"Industrial con Demanda Horaria Diferenciada - AV1";"ATCGCD07";"0";"0";"0";"0";"0";"0";"2";"5753,60052";"546006,17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2287,7123";"210844,94";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Alta";"3 - Industrial";"Público";"Industrial con Demanda Horaria Diferenciada - AV2";"EATCGCD1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"31479,32878";"2789810,97"
"1/7/2025";"General";"Alta";"5 - Otros";"No Público";"Abonados Especiales con Demanda Horaria - AV1";"ATCGCD03";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0,05628";"278,04";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
