Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
Abr;General;Baja;Otros;Público;BTCGSD06 (BT / Abonados Especiales con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Abr;General;Baja;Otros;Público;BTCGSD10 (BT / Abonados Especiales con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Abr;Alumbrado Público;Baja;Alumbrado Público;Público;BTAPCD01 (BT / Alumbrado Público);1;1.695,81;115.729,22;1;8.538,04;1.030.209,59;1;3.995,96;364.989,88;1;14.587,88;1.601.119,82;1;8.226,17;1.808.878,09;1;2.882,53;276.293,69;1;11.370,25;968.633,26;1;3.870,86;480.170,93;254;3.676,08;764.439,06;1;6.714,54;772.786,88;1;3.187,86;267.958,76
Abr;General;Baja;Otros;Público;BTCGSD03 (BT / Asistencia Social);82;35,15;1.842,22;159;127,10;7.247,75;114;58,76;3.227,78;54;66,55;6.496,74;106;118,81;6.723,53;61;47,19;2.669,69;165;155,81;8.980,37;41;26,39;1.493,23;49;45,50;2.611,83;128;122,03;6.940,52;129;64,42;3.716,26
Abr;General;Baja;Otros;Público;BTCGCD03 (BT / Asistencia Social con Demanda);2;4,87;390,17;0;0,00;0,00;3;38,61;2.952,18;36;114,81;8.583,17;6;8,52;772,52;4;4,04;364,06;1;3,60;298,48;10;33,55;2.755,62;0;0,00;0,00;0;0,00;0,00;3;1,53;136,20
Abr;General;Baja;Otros;Público;NDCGCD01 (BT / Asistencia Social con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;52;173,40;13.644,82
Abr;General;Baja;Otros;Público;BTCGCD04 (BT / Autoconsumo con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Abr;General;Baja;Otros;Público;BTCGSD04 (BT / Beneficio Público);514;55,39;3.339,52;847;188,68;10.357,02;825;151,23;8.511,88;388;213,70;19.556,03;821;180,73;10.094,32;252;58,58;3.251,14;559;178,54;10.182,05;252;65,99;3.641,13;241;75,17;4.082,08;996;158,32;8.939,51;763;123,07;6.943,01
Abr;General;Baja;Otros;Público;BTCGCD05 (BT / Beneficio Público con Demanda);2;5,75;464,03;0;0,00;0,00;7;8,75;887,09;55;92,00;7.391,07;5;7,81;662,31;7;9,85;880,52;7;12,06;1.076,38;19;43,54;3.680,54;2;1,75;155,72;0;0,00;0,00;6;3,41;383,63
Abr;General;Baja;Otros;Público;BTCGCD20 (BT / Beneficio Público con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;41;95,67;7.279,34
