Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
May;General;Baja;Otros;Público;BTCGSD06 (BT / Abonados Especiales con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
May;General;Baja;Otros;Público;BTCGSD10 (BT / Abonados Especiales con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
May;Alumbrado Público;Baja;Alumbrado Público;Público;BTAPCD01 (BT / Alumbrado Público);1;1.755,56;117.281,16;1;8.129,53;1.033.473,20;1;4.152,04;358.127,54;1;14.946,07;1.690.955,69;1;8.950,03;1.978.702,55;1;2.992,60;308.306,30;3;11.424,62;975.055,84;1;4.102,02;525.517,69;254;3.770,85;715.781,25;1;6.800,62;800.726,68;1;3.141,37;281.963,57
May;General;Baja;Otros;Público;BTCGSD03 (BT / Asistencia Social);82;36,08;1.920,30;162;130,49;7.462,76;114;60,60;3.343,87;54;70,83;6.933,61;106;121,84;7.066,68;61;50,51;2.874,86;164;161,29;9.294,15;41;25,78;1.456,24;49;48,33;2.787,11;128;128,73;7.383,14;129;64,94;3.734,54
May;General;Baja;Otros;Público;BTCGCD03 (BT / Asistencia Social con Demanda);2;4,71;380,04;0;0,00;0,00;3;44,39;3.330,35;36;124,38;9.184,90;6;10,58;905,90;4;4,00;364,91;1;3,87;315,70;10;34,76;2.870,66;0;0,00;0,00;0;0,00;0,00;3;1,46;131,33
May;General;Baja;Otros;Público;NDCGCD01 (BT / Asistencia Social con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;52;198,56;14.651,44
May;General;Baja;Otros;Público;BTCGCD04 (BT / Autoconsumo con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
May;General;Baja;Otros;Público;BTCGSD04 (BT / Beneficio Público);517;60,11;3.559,87;847;253,70;14.057,54;824;164,63;9.250,44;391;222,86;19.591,42;822;241,32;13.507,23;250;77,38;4.387,18;559;227,07;13.067,93;252;84,18;4.726,39;242;104,37;5.820,21;995;200,17;11.212,87;761;130,97;7.382,79
May;General;Baja;Otros;Público;BTCGCD05 (BT / Beneficio Público con Demanda);2;5,08;419,06;0;0,00;0,00;8;11,93;1.117,10;55;122,55;9.437,38;5;8,76;663,88;7;11,87;1.040,49;7;15,48;1.299,52;19;70,58;5.536,87;1;1,87;142,38;0;0,00;0,00;6;4,00;421,86
May;General;Baja;Otros;Público;BTCGCD20 (BT / Beneficio Público con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;39;105,62;7.934,14
May;General;Baja;Otros;Público;BTCGCD21 (BT / Bombeo de Agua Comunidades Campesinas);0;0,00;0,00;13;24,80;1.000,90;9;10,56;428,54;0;0,00;0,00;10;10,27;417,64;1;2,18;88,06;10;6,51;267,40;8;32,21;1.299,39;0;0,00;0,00;15;19,30;782,38;52;36,05;1.478,56
May;General;Baja;Otros;Público;BTCGCD06 (BT / Bombeo de Agua con Demanda);0;0,00;0,00;0;0,00;0,00;12;19,72;1.694,47;8;64,80;5.488,31;49;69,51;6.548,03;0;0,00;0,00;0;0,00;0,00;4;26,53;2.121,07;0;0,00;0,00;1;3,04;267,04;24;17,02;1.348,79
May;General;Baja;Otros;Público;BTCGCD34 (BT / Bombeo de Agua con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;14;41,40;3.921,52
May;General;Baja;Otros;Público;BTCGSD14 (BT / Bombeo de Agua para Servicio Público de Agua);0;0,00;0,00;16;18,20;1.197,05;0;0,00;0,00;29;20,51;1.353,63;0;0,00;0,00;12;34,13;2.250,36;0;0,00;0,00;0;0,00;0,00;25;39,78;2.620,20;13;8,08;530,08;0;0,00;0,00
May;General;Baja;Otros;Público;BTCGCD40 (BT / Bombeo de Agua para Servicio Público de Agua con Demanda Horaria);0;0,00;0,00;5;6,02;377,57;0;0,00;0,00;15;86,00;5.639,08;0;0,00;0,00;0;0,00;0,00;1;4,89;395,86;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;80;714,68;44.522,01
May;General;Baja;Comercial;Público;BTCGSD01 (BT / Comercial);0;0,00;0,00;43;4,18;462,10;236;134,56;13.701,94;58;49,68;5.197,43;12;3,87;393,76;10;5,81;589,20;24;14,30;1.458,55;55;14,32;1.486,33;2;0,80;82,15;72;25,17;2.586,85;6;1,82;184,86
May;General;Baja;Comercial;Público;BTCGCD01 (BT / Comercial con Demanda);0;0,00;0,00;0;0,00;0,00;2;0,49;108,83;5;36,68;4.136,82;7;20,27;2.592,21;1;2,88;350,64;0;0,00;0,00;1;0,00;1,41;0;0,00;0,00;0;0,00;0,00;3;7,61;818,66
May;General;Baja;Comercial;Público;BTCGCD31 (BT / Comercial con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;6,59;633,37
May;General;Baja;Otros;Público;BTCGSD09 (BT / Culto Religioso);0;0,00;0,00;0;0,00;0,00;4;0,02;6,39;0;0,00;0,00;0;0,00;0,00;1;0,65;34,39;1;0,31;12,97;0;0,00;0,00;2;0,46;23,28;1;0,00;1,41;7;0,27;19,15
May;General;Baja;Otros;Público;BTCGCD32 (BT / Culto Religioso con Demanda);1;0,72;56,81;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
